Date,mkt_par_lb,mkt_n_trades,mkt_px_std_daily,dIG_spread,dIG_spread_lag1,VIXCLS_level,cpi_mom,cpi_mom_lag1,core_cpi_mom,core_cpi_mom_lag1,pce_mom,pce_mom_lag1,indpro_mom,indpro_mom_lag1,ccsa_growth,ccsa_growth_lag1,UNRATE_lag1,dT5YIFR,dT5YIFR_lag1,dT5YIE,dT5YIE_lag1,dT10YIE,dT10YIE_lag1,ln_mkt_par_lb,ln_mkt_par_lb_lag1,ln_mkt_n_trades,ln_mkt_n_trades_lag1,mkt_px_std_daily_lag1,dmkt_px_std_daily,dmkt_px_std_daily_lag1
2004-09-30,70601646542.0,181467.0,0.566786133,1.428571299999959,4.202804500000035,14.08095238,0.0031662295580501265,0.0005286809533657788,0.00304259869609691,0.0005080010269269408,0.001974383646688338,0.0005129777217414144,0.0011229395721379376,0.0008537223719899956,-0.009992697304824105,-0.008780292269447543,5.4,-0.09132034599999983,-0.0577272729999998,-0.09898268399999965,-0.04625541200000027,-0.09515151499999996,-0.051991341999999996,24.980319303298298,24.914765373050948,12.108829097974295,12.208195390911152,0.6016675442,-0.03488141119999999,0.009309811800000012
2004-10-31,116292505090.0,366830.0,0.7055577504,0.46233769999997065,1.428571299999959,14.97380952,0.005254872838358793,0.0031662295580501265,0.0020232682673437807,0.00304259869609691,0.004285222562280033,0.001974383646688338,0.008860161368399844,0.0011229395721379376,-0.030051456979160562,-0.009992697304824105,5.4,-0.0379523810000002,-0.09132034599999983,0.120619048,-0.09898268399999965,0.04133333299999986,-0.09515151499999996,25.479374449768418,24.980319303298298,12.812653804460522,12.108829097974295,0.566786133,0.1387716174,-0.03488141119999999
2004-11-30,105510753615.0,383243.0,0.6901784563,2.618181900000053,0.46233769999997065,13.57761905,0.0047058910374122576,0.005254872838358793,0.0020191829172295783,0.0020232682673437807,0.0038460154351858122,0.004285222562280033,0.002450217996091908,0.008860161368399844,-0.015782640527460146,-0.030051456979160562,5.5,0.05149999999999988,-0.0379523810000002,0.24849999999999994,0.120619048,0.1499999999999999,0.04133333299999986,25.382078714668022,25.479374449768418,12.856424531727074,12.812653804460522,0.7055577504,-0.015379294100000052,0.1387716174
2004-12-31,97544323345.0,393561.0,0.6811737397,-1.2818182000000178,2.618181900000053,12.45954545,0.0,0.0047058910374122576,0.001511716085322412,0.0020191829172295783,0.0005323132851202672,0.0038460154351858122,0.007775476148231597,0.002450217996091908,-0.005684438154357707,-0.015782640527460146,5.4,0.03550000000000031,0.05149999999999988,0.05304545499999991,0.24849999999999994,0.04427272700000007,0.1499999999999999,25.303572710061918,25.382078714668022,12.882991353885103,12.856424531727074,0.6901784563,-0.009004716600000018,-0.015379294100000052
2005-01-31,122780801969.0,439684.0,0.6684460179,7.720129800000024,-1.2818182000000178,13.438,-0.0005217845148388633,0.0,0.0020120731134198877,0.001511716085322412,0.0013110052091693802,0.0005323132851202672,0.0035210568192729497,0.007775476148231597,0.0017637985023863934,-0.005684438154357707,5.4,-0.03200000000000003,0.03550000000000031,-0.09654545500000022,0.05304545499999991,-0.06427272699999964,0.04427272700000007,25.533666504680415,25.303572710061918,12.993811566060158,12.882991353885103,0.6811737397,-0.012727721799999925,-0.009004716600000018
2005-02-28,118377508366.0,426282.0,0.6464200441,5.430827100000002,7.720129800000024,11.70894737,0.004166672694846163,-0.0005217845148388633,0.002008032803245463,0.0020120731134198877,0.002777110999283572,0.0013110052091693802,0.007195688711779447,0.0035210568192729497,-0.013788732965981154,0.0017637985023863934,5.3,-0.032736842000000266,-0.03200000000000003,0.10515789500000006,-0.09654545500000022,0.03621052599999963,-0.06427272699999964,25.497144578226038,25.533666504680415,12.962856378075786,12.993811566060158,0.6684460179,-0.022025973800000043,-0.012727721799999925
2005-03-31,145719528051.0,549687.0,0.6751323159,1.9854066999999844,5.430827100000002,13.12636364,0.0036316512028626846,0.004166672694846163,0.00350438406194975,0.002008032803245463,0.0029906426321923973,0.002777110999283572,-0.0014134321911019043,0.007195688711779447,-0.010101095986502884,-0.013788732965981154,5.4,0.15882775100000002,-0.032736842000000266,0.19366028700000015,0.10515789500000006,0.1762440190000003,0.03621052599999963,25.70494957034285,25.497144578226038,13.217104304305868,12.962856378075786,0.6464200441,0.028712271800000022,-0.022025973800000043
2005-04-30,131805169710.0,502761.0,0.7405631867,17.268398299999973,1.9854066999999844,14.45904762,0.0031023809784818113,0.0036316512028626846,0.0004996252914324373,0.00350438406194975,0.002797925471404561,0.0029906426321923973,0.0020738685585675043,-0.0014134321911019043,-0.0209358128196655,-0.010101095986502884,5.2,-0.0436147189999998,0.15882775100000002,-0.10681818200000004,0.19366028700000015,-0.0752164500000001,0.1762440190000003,25.604590682145428,25.70494957034285,13.127870187057402,13.217104304305868,0.6751323159,0.06543087079999999,0.028712271800000022
2005-05-31,130843480878.0,510489.0,0.7381161908,13.803030300000074,17.268398299999973,13.96761905,-0.0005163955704734491,0.0031023809784818113,0.0014973798655040227,0.0004996252914324373,0.0005635459439083945,0.002797925471404561,0.0009350444775639843,0.0020738685585675043,-0.0069933723029542705,-0.0209358128196655,5.2,-0.09333333299999991,-0.0436147189999998,-0.1952380950000001,-0.10681818200000004,-0.144285714,-0.0752164500000001,25.597267643344033,25.604590682145428,13.143124368852257,13.127870187057402,0.7405631867,-0.002446995899999971,0.06543087079999999
2005-06-30,119893065799.0,470828.0,0.6574358038,-6.162337700000009,13.803030300000074,11.86863636,0.0005163955704734491,-0.0005163955704734491,0.0004986287812114298,0.0014973798655040227,0.0006244299219106964,0.0005635459439083945,0.004365742512094428,0.0009350444775639843,0.005302494949820158,-0.0069933723029542705,5.1,-0.14123376600000004,-0.09333333299999991,-0.1933982689999998,-0.1952380950000001,-0.1673160170000001,-0.144285714,25.509866064104806,25.597267643344033,13.06224812583684,13.143124368852257,0.7381161908,-0.08068038700000002,-0.002446995899999971
