Date,dIG_spread,dIG_spread_lag1,VIXCLS_level,cpi_mom,cpi_mom_lag1,core_cpi_mom,core_cpi_mom_lag1,pce_mom,pce_mom_lag1,indpro_mom,indpro_mom_lag1,ccsa_growth,ccsa_growth_lag1,UNRATE_lag1,dT5YIFR,dT5YIFR_lag1,dT5YIE,dT5YIE_lag1,dT10YIE,dT10YIE_lag1
2003-03-31,-1.5916040000000464,-7.9105605000000025,30.63428571,0.0016326534238855217,0.005461510025521754,0.0,0.00051961549623325,0.0025635919766786586,0.004200953653426431,-0.002742371997936033,0.001245700247824999,0.029753692446950808,0.006567928448690807,5.9,-0.14057644199999997,0.0605764419999999,0.04102756899999993,0.25611528799999994,-0.049774435999999866,0.1583458649999998
2003-04-30,-21.714285799999942,-1.5916040000000464,23.99190476,-0.0038136793702454597,0.0016326534238855217,0.0,0.0,-0.0016997390100339516,0.0025635919766786586,-0.006277865118468284,-0.002742371997936033,0.024811085067012684,0.029753692446950808,5.9,-0.04952380899999986,-0.14057644199999997,-0.12666666599999998,0.04102756899999993,-0.08809523799999996,-0.049774435999999866
2003-05-31,-12.459627200000071,-21.714285799999942,20.23952381,-0.0016388968432101692,-0.0038136793702454597,0.0020757661838439745,0.0,-0.001147669004155638,-0.0016997390100339516,-0.0003439673851080016,-0.006277865118468284,0.024344816012577652,0.024811085067012684,6.0,0.004285713999999885,-0.04952380899999986,-0.23190476199999988,-0.12666666599999998,-0.1138095240000001,-0.08809523799999996
2003-06-30,-2.3975154999999617,-12.459627200000071,20.36238095,0.0010928962836445066,-0.0016388968432101692,0.0005182689932023976,0.0020757661838439745,0.0010832281254176124,-0.001147669004155638,0.0013221344444946936,-0.0003439673851080016,-0.004770448493221835,0.024344816012577652,6.1,-0.11904761899999983,0.004285713999999885,0.02190476199999991,-0.23190476199999988,-0.04857142899999989,-0.1138095240000001
2003-07-31,-22.6344815,-2.3975154999999617,19.16136364,0.003271540540615625,0.0010928962836445066,0.002070394114308094,0.0005182689932023976,0.0029342895110939793,0.0010832281254176124,0.005149138267602105,0.0013221344444946936,-0.02330056559280891,-0.004770448493221835,6.3,0.2974458879999997,-0.11904761899999983,0.20961038900000006,0.02190476199999991,0.25352813899999993,-0.04857142899999989
2003-08-31,0.4959533000000036,-22.6344815,19.27428571,0.0043454712595014655,0.003271540540615625,0.0010335918232833308,0.002070394114308094,0.003374069078633468,0.0029342895110939793,-0.002130045771744804,0.005149138267602105,-0.005504232179726287,-0.02330056559280891,6.2,0.19922077900000001,0.2974458879999997,0.31848484900000007,0.20961038900000006,0.25885281400000015,0.25352813899999993
2003-09-30,-6.404761900000011,0.4959533000000036,19.53238095,0.0032467560988704847,0.0043454712595014655,0.0005163955704734491,0.0010335918232833308,0.003120167235124427,0.003374069078633468,0.0064619338763929335,-0.002130045771744804,-0.005758400775608408,-0.005504232179726287,6.1,-0.07999999999999963,0.19922077900000001,0.006666665999999877,0.31848484900000007,-0.036666666999999986,0.25885281400000015
2003-10-31,-8.417278300000053,-6.404761900000011,18.02347826,-0.0010810811863732894,0.0032467560988704847,0.0015475886503777403,0.0005163955704734491,0.0001276682669493212,0.003120167235124427,0.001345094545315284,0.0064619338763929335,-0.025348284393311715,-0.005758400775608408,6.1,0.16714285699999998,-0.07999999999999963,0.08484848499999997,0.006666665999999877,0.12599567099999964,-0.036666666999999986
2003-11-30,2.3415207000000215,-8.417278300000053,17.40105263,0.0005406866852455394,-0.0010810811863732894,0.0,0.0015475886503777403,0.0012630371978561428,0.0001276682669493212,0.006770109841992777,0.001345094545315284,-0.03290552211778497,-0.025348284393311715,6.0,0.20499999999999963,0.16714285699999998,0.039040404000000084,0.08484848499999997,0.1220202020000003,0.12599567099999964
2003-12-31,-6.677489199999975,2.3415207000000215,16.82636364,0.00269905696916517,0.0005406866852455394,0.001030396793896493,0.0,0.002203303297775072,0.0012630371978561428,0.0005067832557461571,0.006770109841992777,-0.031054703255577465,-0.03290552211778497,5.8,-0.12636363599999978,0.20499999999999963,0.02232323299999983,0.039040404000000084,-0.052020202000000015,0.1220202020000003
2004-01-31,-7.868181799999974,-6.677489199999975,16.101,0.004303395560053325,0.00269905696916517,0.002057613894679733,0.001030396793896493,0.0038599791441056297,0.002203303297775072,0.0016650410350811384,0.0005067832557461571,-0.03803557364761545,-0.031054703255577465,5.7,-0.03813636400000009,-0.12636363599999978,-0.004045454999999976,0.02232323299999983,-0.021090909000000213,-0.052020202000000015
2004-02-29,2.410332699999973,-7.868181799999974,15.99842105,0.002144772940133599,0.004303395560053325,0.0015404367616103087,0.002057613894679733,0.0021267715281636512,0.0038599791441056297,0.006183806780973633,0.0016650410350811384,-0.010681968741748094,-0.03803557364761545,5.7,-0.05628947399999973,-0.03813636400000009,0.1745000000000001,-0.004045454999999976,0.059105263000000186,-0.021090909000000213
2004-03-31,5.88275030000003,2.410332699999973,17.6873913,0.0021401827323677125,0.002144772940133599,0.0030737729119056922,0.0015404367616103087,0.0015416111622954531,0.0021267715281636512,-0.003911860434257619,0.006183806780973633,-0.022237566239557083,-0.010681968741748094,5.6,0.016659038999999876,-0.05628947399999973,0.061739129999999864,0.1745000000000001,0.03919908499999991,0.059105263000000186
2004-04-30,-4.175983500000104,5.88275030000003,15.69857143,0.00160213652427732,0.0021401827323677125,0.0020439455250746974,0.0030737729119056922,0.0018543636459504853,0.0015416111622954531,0.0038709551794342545,-0.003911860434257619,-0.015049068533961929,-0.022237566239557083,5.8,0.06484472100000005,0.016659038999999876,0.10207039400000006,0.061739129999999864,0.08345755700000002,0.03919908499999991
